userId,movieId,tag,tag_timestamp
2,60756,Highly quotable,24-10-2015 19:29
62,2124,Family,06-05-2018 20:00
62,4223,Jude Law,03-06-2018 11:20
62,5388,Al Pacino,29-06-2018 22:20
62,5388,Robin Williams,29-06-2018 22:20
62,7153,scenic,04-06-2018 22:49
62,27660,anime,05-05-2018 21:08
62,38061,Robert Downey Jr.,27-07-2018 20:30
62,45447,Paris,06-05-2018 20:04
62,53464,bad acting,05-05-2018 21:13
62,88405,happy ending,05-05-2018 21:14
62,88405,Mila Kunis,05-05-2018 21:14
62,88405,New York City,05-05-2018 21:14
62,99114,Great performances,11-05-2018 22:46
62,99114,western,11-05-2018 22:46
62,114180,survival,05-05-2018 21:07
62,115149,stylish,04-06-2018 22:44
62,128360,Samuel L. Jackson,11-05-2018 22:48
62,135133,Jennifer Lawrence,06-05-2018 20:11
62,136864,action,05-05-2018 21:20
62,139385,leonardo DiCarpio,11-05-2018 22:50
106,4896,Everything you want is here,03-07-2016 17:29
119,115149,action,24-07-2015 18:39
119,120635,murder,01-08-2015 14:28
125,42632,brutality,20-09-2016 14:24
125,67695,Seth Rogen,20-09-2016 14:35
125,100083,sarcasm,20-09-2016 13:10
125,158872,satire,20-09-2016 14:34
132,3556,sofia coppola,10-11-2006 08:40
166,54286,Robert Ludlum,02-09-2007 23:08
177,115617,fun family movie,28-06-2015 20:37
184,193565,comedy,16-09-2018 11:49
184,193565,remaster,16-09-2018 11:49
193,4878,hallucinatory,02-07-2015 17:12
193,4878,surreal,02-07-2015 17:12
226,6938,surfing,12-10-2006 19:29
274,68319,comic book,08-05-2009 06:02
318,778,dark comedy,17-02-2010 12:11
318,64034,childish naivity,12-05-2009 20:33
318,68954,computer animation,17-02-2010 12:10
318,82459,Matt Damon,18-03-2011 21:58
336,32587,cult,04-02-2006 09:52
341,260,space,16-08-2015 18:49
424,589,sci-fi,13-03-2016 04:54
424,628,twist ending,13-03-2016 04:36
424,1089,stylized,13-03-2016 04:52
424,1200,sci-fi,13-03-2016 20:34
424,1200,suspense,13-03-2016 20:34
424,1258,masterpiece,13-03-2016 04:29
424,2571,sci-fi,13-03-2016 04:21
424,2700,adult humor,13-03-2016 04:46
424,2700,satire,13-03-2016 04:46
424,3499,stephen king,13-03-2016 05:18
424,4226,twist ending,13-03-2016 04:22
424,8950,Christian Bale,13-03-2016 04:20
424,8950,creepy,13-03-2016 04:20
424,30825,Robert De Niro,13-03-2016 05:22
424,40278,Modern war,13-03-2016 05:20
424,48516,atmospheric,13-03-2016 04:26
424,48516,suspense,13-03-2016 04:26
424,53127,conspiracy theory,14-03-2016 02:41
424,74458,insanity,13-03-2016 04:25
424,112556,annoying,13-03-2016 04:58
435,58559,psychology,23-04-2013 00:14
439,98809,Action,15-07-2015 07:08
439,98809,Myth,15-07-2015 07:09
462,152711,human rights,07-11-2016 03:34
474,25,alcoholism,24-01-2006 21:19
474,29,kidnapping,24-01-2006 21:17
474,107,muppets,16-01-2006 01:39
474,237,France,24-01-2006 21:18
474,246,basketball,20-01-2006 19:19
474,293,hit men,24-01-2006 21:20
474,318,prison,14-01-2006 02:17
474,329,Enterprise,14-01-2006 02:41
474,440,President,13-01-2006 22:28
474,539,Empire State Building,14-01-2006 01:44
474,830,adultery,16-01-2006 01:15
474,852,golf,16-01-2006 01:17
474,902,Capote,24-01-2006 21:24
474,914,George Bernard Shaw,14-01-2006 01:42
474,924,Hal,15-01-2006 23:33
474,924,space,15-01-2006 23:33
474,943,ghosts,26-01-2006 20:21
474,947,butler,17-01-2006 18:04
474,1081,cross dressing,24-01-2006 21:26
474,1084,1920s,24-01-2006 21:24
474,1147,In Netflix queue,14-01-2006 01:11
474,1196,space opera,14-01-2006 02:17
474,1197,Inigo Montoya,14-01-2006 01:43
474,1198,archaeology,20-01-2006 19:14
474,1212,ferris wheel,14-01-2006 01:11
474,1250,POW,14-01-2006 02:48
474,1269,murder,24-01-2006 21:23
474,1302,baseball,24-01-2006 21:25
474,1361,In Netflix queue,14-01-2006 01:10
474,1367,remake,16-01-2006 01:14
474,1500,hit men,15-01-2006 23:37
474,1537,ballroom dance,15-01-2006 23:38
474,1653,future,14-01-2006 02:24
474,1900,In Netflix queue,14-01-2006 01:24
474,1938,alcoholism,20-01-2006 14:10
474,1940,anti-Semitism,15-01-2006 23:36
474,1953,drugs,15-01-2006 23:36
474,1960,China,15-01-2006 23:37
474,1979,Jason,16-01-2006 01:07
474,2355,Pixar,13-01-2006 22:35
474,2357,South America,14-01-2006 02:23
474,2424,e-mail,14-01-2006 01:38
474,2491,food,16-01-2006 01:21
474,2517,Stephen King,16-01-2006 01:08
474,2762,I see dead people,14-01-2006 01:37
474,2803,lawyers,16-01-2006 01:29
474,3087,christmas,14-01-2006 20:40
474,3115,men in drag,13-01-2006 22:38
474,3176,Europe,14-01-2006 01:37
474,3178,boxing,16-01-2006 01:19
474,3250,In Netflix queue,14-01-2006 01:29
474,3263,basketball,16-01-2006 01:22
474,3270,figure skating,16-01-2006 01:31
474,3330,adolescence,23-01-2006 16:07
474,3429,aardman,22-02-2006 16:42
474,3435,Insurance,17-01-2006 18:01
474,3515,alternate endings,23-01-2006 16:11
474,3559,In Netflix queue,14-01-2006 01:26
474,3629,mining,23-01-2006 16:11
474,3849,disability,23-01-2006 16:13
474,3967,ballet,13-01-2006 22:39
474,4012,stand-up comedy,16-01-2006 01:26
474,4024,Edith Wharton,16-01-2006 01:32
474,4077,psychopaths,23-01-2006 17:57
474,4210,Hannibal Lecter,04-02-2006 13:31
474,4292,Union,13-01-2006 22:41
474,4306,fairy tales,14-01-2006 02:26
474,4537,hippies,14-01-2006 02:26
474,4979,new york,14-01-2006 20:40
474,4980,time travel,23-01-2006 17:58
474,5291,In Netflix queue,14-01-2006 01:08
474,5304,In Netflix queue,14-01-2006 01:09
474,5630,Hannibal Lecter,04-02-2006 13:31
474,5633,bombs,23-01-2006 18:00
474,5644,Lou Gehrig,23-01-2006 18:03
474,6218,soccer,23-01-2006 17:58
474,6373,religion,16-01-2006 01:31
474,6375,In Netflix queue,14-01-2006 01:01
474,6545,Dodie Smith,13-01-2006 19:45
474,6609,Bible,26-01-2006 20:24
474,6785,Lonesome Polecat,14-01-2006 02:34
474,6870,child abuse,26-01-2006 20:27
474,6985,saint,14-01-2006 02:33
474,7018,court,16-01-2006 01:34
474,7055,Astaire and Rogers,23-01-2006 18:10
474,7062,prison,23-01-2006 18:05
474,7073,Clousseau,16-01-2006 01:37
474,7212,cross dressing,23-01-2006 18:07
474,7619,blindness,23-01-2006 18:16
474,7713,sexuality,23-01-2006 18:13
474,7924,In Netflix queue,14-01-2006 01:21
474,8011,politics,02-04-2006 17:22
474,8188,Not available from Netflix,13-01-2006 19:19
474,8424,divorce,23-01-2006 18:14
474,8938,parenthood,23-01-2006 18:17
474,8983,martial arts,23-01-2006 18:15
477,32,time travel,16-05-2009 17:18
477,908,Alfred Hitchcock,17-05-2009 16:18
477,1089,humorous,16-05-2009 17:28
477,1196,Harrison Ford,06-01-2010 16:36
477,1222,anti-war,16-05-2009 17:28
477,2706,Chris Klein,11-06-2009 08:00
477,3000,Studio Ghibli,04-05-2009 00:20
477,3527,Arnold Schwarzenegger,29-03-2010 03:16
477,53468,zombies,28-09-2009 01:30
477,54503,friendship,09-06-2009 16:48
477,56174,apocalypse,06-01-2010 16:34
477,68358,sci-fi,06-01-2010 16:38
477,68358,time travel,06-01-2010 16:38
477,68791,new composer,27-05-2009 05:26
477,69526,ridiculous,06-01-2010 16:35
477,69757,humorous,24-07-2010 07:22
