userId,movieId,rating,rating_timestamp
1,6,4,30-07-2000 18:37
1,101,5,30-07-2000 18:14
1,157,5,30-07-2000 19:08
1,441,4,30-07-2000 18:14
1,552,4,30-07-2000 18:44
1,1097,5,30-07-2000 18:28
1,1224,5,30-07-2000 19:06
1,1298,5,30-07-2000 19:08
1,1517,5,30-07-2000 18:18
1,1573,5,30-07-2000 18:38
1,1587,5,30-07-2000 18:39
1,1967,4,30-07-2000 18:28
1,2046,4,30-07-2000 18:42
1,2161,5,30-07-2000 18:28
1,2338,2,30-07-2000 18:59
1,2947,5,30-07-2000 18:36
1,3617,4,30-07-2000 18:11
1,3809,4,30-07-2000 18:20
2,46970,4,24-10-2015 19:30
2,106782,5,24-10-2015 19:29
3,31,0.5,27-05-2011 02:32
3,527,0.5,27-05-2011 02:44
3,3703,5,27-05-2011 02:33
4,126,1,09-04-2001 20:42
4,892,4,26-07-2000 14:45
4,1196,5,25-07-2000 15:26
4,1211,1,25-07-2000 15:33
4,1914,4,26-07-2000 14:45
4,1916,1,10-04-2001 20:33
4,1967,5,13-12-1999 09:56
4,2109,4,10-04-2001 20:36
4,2282,1,19-12-1999 18:47
4,2336,2,25-07-2000 15:29
4,2583,5,13-12-1999 09:54
4,2762,4,25-07-2000 15:46
4,3204,4,25-07-2000 15:43
5,36,4,08-11-1996 06:41
5,380,2,08-11-1996 06:32
5,594,5,08-11-1996 06:40
6,7,4,17-10-1996 12:11
6,41,4,17-10-1996 12:22
6,46,4,17-10-1996 12:15
6,150,4,17-10-1996 11:51
6,195,4,17-10-1996 12:14
6,237,4,17-10-1996 12:04
6,327,1,17-10-1996 12:07
6,361,4,17-10-1996 12:12
6,415,4,17-10-1996 12:13
6,440,4,17-10-1996 11:57
6,569,4,17-10-1996 12:29
6,587,5,17-10-1996 11:56
6,595,5,17-10-1996 11:52
6,631,4,17-10-1996 12:27
7,480,5,25-01-2005 06:51
7,595,3.5,26-01-2005 04:10
7,648,4,25-01-2005 06:53
7,2628,1.5,26-01-2005 04:09
7,4310,0.5,30-01-2005 23:17
7,4643,1,25-01-2005 06:49
7,4896,4,25-01-2005 07:05
7,5952,4.5,25-01-2005 07:02
7,6333,4,25-01-2005 07:01
7,8665,3.5,17-02-2005 01:12
8,47,4,08-08-1996 00:19
8,590,5,08-08-1996 00:17
9,5956,4,07-02-2003 22:29
10,356,3.5,12-02-2016 18:28
10,2762,0.5,13-02-2016 09:39
10,4993,4,13-02-2016 09:39
10,4995,4,12-02-2016 18:29
10,6377,3.5,12-02-2016 19:41
10,7451,3.5,13-02-2016 21:34
10,31685,4.5,13-02-2016 10:00
10,54286,3.5,13-02-2016 09:38
10,80549,3.5,13-02-2016 21:35
10,91529,5,12-02-2016 18:35
10,94070,4.5,13-02-2016 09:56
11,474,4,03-08-1998 14:27
11,780,4,03-08-1998 14:28
11,1693,5,03-08-1998 14:38
11,1704,4,03-08-1998 14:38
11,1917,4,23-07-1998 13:20
12,39,4,10-07-2009 22:21
12,222,5,10-07-2009 22:04
12,543,3.5,10-07-2009 22:01
12,2072,5,10-07-2009 22:07
12,8533,5,10-07-2009 22:15
13,3578,5,21-04-2001 23:31
13,3897,4,21-04-2001 23:26
14,47,5,22-06-1996 10:58
14,477,4,22-06-1996 11:06
15,356,5,13-11-2017 11:17
15,1196,5,13-11-2017 11:30
15,2001,5,06-03-2011 15:20
15,85414,3.5,13-11-2017 11:33
16,527,4,26-08-2013 00:26
16,1186,3.5,26-08-2013 00:24
16,1197,4,26-08-2013 00:30
16,1260,4,26-08-2013 00:28
16,2019,4,26-08-2013 00:26
16,2109,3.5,26-08-2013 00:24
16,2427,1.5,26-08-2013 00:22
16,3174,3.5,26-08-2013 00:24
17,904,4,05-06-2011 08:24
17,1405,4,18-05-2011 05:24
17,4226,4,18-05-2011 05:32
17,6350,5,30-11-2011 04:54
17,77455,3.5,05-06-2011 08:27
18,50,5,09-02-2016 20:22
18,293,4.5,09-02-2016 20:34
18,1370,3.5,17-02-2016 22:42
18,2291,4,17-02-2016 22:36
18,2542,4.5,27-02-2016 14:48
18,3275,4.5,16-02-2016 10:15
18,3994,2.5,11-02-2016 22:58
18,6548,2,09-02-2016 20:49
18,6807,4.5,22-03-2016 17:53
18,8360,3.5,16-02-2016 20:35
18,8644,3.5,09-02-2016 20:28
18,27716,4.5,01-03-2016 19:18
18,40819,4,09-02-2016 20:47
18,46965,1,17-02-2016 22:51
18,48516,4.5,09-02-2016 20:30
18,51357,4,18-03-2018 00:12
18,73323,4.5,29-02-2016 18:30
18,96432,4,16-03-2018 20:47
18,112421,4,01-03-2016 11:44
18,122904,3.5,13-04-2016 19:30
18,141688,4,02-11-2016 22:08
18,150548,4,18-02-2016 20:55
19,208,2,08-08-2000 04:43
19,319,1,08-08-2000 04:58
19,333,2,08-08-2000 03:49
19,410,2,08-08-2000 03:51
19,480,2,08-08-2000 03:03
19,494,2,08-08-2000 05:05
19,541,4,08-08-2000 02:59
19,542,2,08-08-2000 04:13
19,913,5,08-08-2000 05:23
19,1092,2,08-08-2000 05:14
19,1234,4,08-08-2000 03:34
19,1240,4,08-08-2000 03:00
19,1405,2,08-08-2000 03:58
19,1544,1,08-08-2000 03:07
19,1882,2,08-08-2000 02:18
19,1911,2,08-08-2000 04:03
19,2014,2,08-08-2000 04:07
19,2040,2,08-08-2000 03:52
19,2253,4,08-08-2000 03:12
19,2338,1,08-08-2000 03:29
19,2605,2,08-08-2000 05:14
19,2642,1,08-08-2000 03:07
19,2701,1,08-08-2000 03:08
19,2710,2,08-08-2000 03:23
19,3035,4,08-08-2000 03:33
19,3064,2,08-08-2000 05:11
19,3082,2,08-08-2000 02:51
19,3113,2,08-08-2000 05:20
19,3355,2,08-08-2000 02:51
19,3396,5,08-08-2000 03:38
19,3481,2,08-08-2000 02:53
19,3717,2,08-08-2000 02:47
19,3837,1,08-08-2000 03:23
20,262,4.5,27-05-2003 12:22
20,2059,3.5,27-05-2003 12:25
20,2080,4,27-05-2003 12:21
20,2085,4,27-05-2003 12:28
20,2087,4.5,27-05-2003 12:22
20,2857,4,27-05-2003 12:28
20,3159,5,27-05-2003 12:21
20,3189,3.5,27-05-2003 12:08
20,3398,5,27-05-2003 12:23
20,3977,3.5,28-05-2003 18:39
20,4449,2,27-05-2003 12:14
20,4993,5,27-05-2003 12:06
20,5013,4.5,27-05-2003 12:10
20,5015,4,27-05-2003 12:05
21,296,3.5,22-07-2017 05:32
21,592,3.5,28-12-2014 19:36
21,1580,4.5,09-08-2014 20:57
21,1704,3.5,18-12-2014 19:47
21,4718,4.5,18-08-2013 11:02
21,5218,4,09-08-2014 20:54
21,5418,4,10-10-2014 19:03
21,8961,3.5,04-09-2015 18:57
21,30793,3.5,22-07-2017 05:39
21,32296,3.5,22-07-2017 05:39
21,58559,3.5,18-08-2013 10:58
21,58998,4.5,04-09-2015 19:00
21,73106,2,18-08-2013 11:02
21,73321,3.5,10-07-2016 01:15
21,79134,2,28-12-2014 19:26
21,91535,3.5,10-07-2016 01:15
21,102481,4,18-08-2013 10:59
21,103339,3.5,22-06-2014 18:12
21,114180,3.5,10-07-2016 01:15
21,115617,4,04-09-2015 18:57
21,117368,3.5,08-12-2014 18:26
21,152081,4,22-07-2017 05:37
22,1193,5,16-03-2010 07:59
22,4036,4.5,16-03-2010 08:13
22,6502,1.5,16-03-2010 08:08
22,6870,4,16-03-2010 08:03
22,7153,1,16-03-2010 07:58
22,60950,1,16-03-2010 08:10
22,69122,0.5,16-03-2010 08:16
23,50,4,31-01-2005 09:29
23,924,4,31-01-2005 09:16
23,1208,4,31-01-2005 09:14
23,7587,5,31-01-2005 09:16
24,1220,3.5,25-03-2016 21:35
24,7293,3.5,25-03-2016 21:26
24,51662,4,25-03-2016 21:33
24,58559,4,25-03-2016 21:32
24,58998,4,25-03-2016 21:24
24,70286,4,25-03-2016 21:33
25,79132,5,28-08-2018 15:33
26,457,4,09-07-1996 22:12
27,158,2,04-07-2000 04:36
27,986,4,04-07-2000 04:44
27,1876,4,01-08-2000 17:19
27,2012,4,01-08-2000 17:14
27,2174,2,01-08-2000 17:12
27,2951,4,01-08-2000 17:05
28,1036,2,13-02-2009 09:00
28,2571,4,11-02-2009 07:45
28,3107,2,14-05-2009 08:48
28,3246,2.5,14-02-2009 00:15
28,4327,3.5,11-02-2009 07:52
28,5010,4.5,11-02-2009 08:21
28,6934,3.5,13-02-2009 09:12
28,6947,3.5,13-02-2009 09:04
28,7361,2.5,20-06-2010 02:43
28,7458,4,13-02-2009 09:09
28,8495,2.5,06-03-2009 03:52
28,26750,3.5,11-05-2009 08:51
28,27831,3.5,11-02-2009 07:45
28,32587,3.5,20-06-2010 02:44
28,34536,2.5,14-05-2009 08:03
28,36529,4,11-02-2009 07:33
28,38061,4.5,11-02-2009 07:39
28,39381,3.5,11-02-2009 07:49
28,51935,2.5,14-05-2009 08:31
28,53972,2.5,11-05-2009 09:00
28,55118,4,11-02-2009 07:44
28,61248,2,17-02-2009 07:02
28,61628,2,17-02-2009 06:56
28,62374,2.5,11-02-2009 07:53
29,904,4.5,13-06-2011 06:13
29,914,4,28-02-2013 01:56
29,1100,3.5,12-06-2011 19:11
29,1136,4,14-06-2011 20:41
31,1363,5,13-12-1996 08:46
32,318,5,23-02-1997 22:30
32,539,4,23-02-1997 22:32
33,21,4,12-10-1999 08:11
33,36,5,12-10-1999 08:01
33,527,5,12-10-1999 08:24
33,562,5,12-10-1999 08:04
33,580,1,12-10-1999 08:03
33,613,5,12-10-1999 08:10
33,1059,4,12-10-1999 08:21
33,1617,5,11-10-1999 13:03
33,1719,5,12-10-1999 08:04
34,145,1,28-10-2006 15:06
34,6857,4,19-11-2006 16:45
36,1222,2.5,18-11-2004 18:46
36,1485,0.5,18-11-2004 18:43
36,2735,2,18-11-2004 18:48
37,593,5,13-10-1996 20:43
38,11,5,29-08-1996 17:57
38,208,1,29-08-1996 17:54
38,246,5,29-08-1996 18:01
38,300,4,29-08-1996 17:55
39,858,4,21-11-2000 06:45
39,1197,5,21-11-2000 06:33
39,1221,5,21-11-2000 06:45
39,1610,4,21-11-2000 06:28
39,2366,5,21-11-2000 06:24
39,2599,5,21-11-2000 06:34
39,2762,5,21-11-2000 06:27
39,2997,5,21-11-2000 06:31
40,208,2,14-05-1996 07:30
40,224,4,14-05-1996 07:35
40,252,4,14-05-1996 07:34
40,281,5,14-05-1996 07:38
40,307,5,14-05-1996 07:40
40,308,5,14-05-1996 07:40
40,318,5,14-05-1996 07:28
40,364,5,14-05-1996 07:40
41,2329,4,25-03-2016 19:21
41,2571,2,30-03-2016 19:54
41,3160,4,30-03-2016 19:53
41,37729,3.5,25-03-2016 21:09
41,52973,3.5,25-03-2016 21:09
41,54001,0.5,25-03-2016 21:02
41,56367,2.5,25-03-2016 20:59
41,86882,3.5,25-03-2016 21:08
41,112552,4,25-03-2016 21:00
42,3,4,27-07-2001 08:04
42,555,5,27-07-2001 07:17
42,733,2,27-07-2001 07:21
42,1127,4,27-07-2001 18:24
42,1191,4,27-07-2001 07:54
42,1488,4,27-07-2001 08:04
42,1610,4,27-07-2001 07:14
42,1923,4,27-07-2001 07:25
42,1968,4,27-07-2001 18:23
42,2278,5,27-07-2001 07:32
42,2352,4,27-07-2001 18:22
42,2497,4,27-07-2001 08:12
42,2568,4,27-07-2001 18:00
42,2707,4,27-07-2001 19:28
42,2987,4,27-07-2001 19:37
